RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
*,*,*,545,France,Male,"[18,25[","[0,12[",0,2,1,0,189613,0
*,*,*,650,Germany,Female,"[45,55[","[0,12[",149004,2,1,0,176903,0
*,*,*,778,Germany,Female,"[25,35[","[0,12[",111064,2,1,0,83557,0
*,*,*,582,France,Female,"[35,45[","[0,12[",135979,4,1,1,76583,1
*,*,*,550,France,Male,"[35,45[","[0,12[",0,2,1,0,26257,0
*,*,*,550,France,Male,"[55,93[","[0,12[",0,1,1,1,133502,0
*,*,*,778,Germany,Female,"[35,45[","[0,12[",151958,3,1,1,131238,1
*,*,*,640,Spain,Male,"[35,45[","[0,12[",172478,1,1,0,191084,1
*,*,*,611,France,Female,"[45,55[","[0,12[",0,1,1,0,77677,1
*,*,*,564,France,Female,"[25,35[","[0,12[",135946,1,1,0,63170,0
*,*,*,533,Germany,Male,"[35,45[","[0,12[",80442,2,0,1,12537,0
*,*,*,642,France,Male,"[25,35[","[0,12[",0,2,1,0,102084,0
*,*,*,625,Spain,Male,"[45,55[","[0,12[",121162,1,1,0,48988,0
*,*,*,550,France,Female,"[45,55[","[0,12[",0,2,1,0,130590,0
*,*,*,711,France,Male,"[45,55[","[0,12[",0,3,1,0,38410,1
*,*,*,694,Spain,Male,"[35,45[","[0,12[",0,1,1,1,95625,0
*,*,*,519,France,Male,"[35,45[","[0,12[",97700,1,1,1,30709,0
*,*,*,661,Spain,Female,"[35,45[","[0,12[",28083,1,1,0,69586,1
*,*,*,665,*,*,*,*,153612,2,1,*,35322,0
*,*,*,744,Spain,Male,"[35,45[","[0,12[",0,2,1,1,43037,0
*,*,*,598,France,Male,"[55,93[","[0,12[",0,2,1,0,195635,1
*,*,*,597,France,Female,"[55,93[","[0,12[",131778,1,0,0,10704,1
*,*,*,577,France,Male,"[35,45[","[0,12[",0,1,1,0,74078,0
*,*,*,784,Germany,Male,"[35,45[","[0,12[",138515,1,1,1,171769,0
*,*,*,738,Spain,Male,"[35,45[","[0,12[",0,2,1,0,43019,1
*,*,*,608,France,Female,"[25,35[","[0,12[",85860,1,0,0,142730,0
*,*,*,502,France,Female,"[55,93[","[0,12[",139663,1,0,1,100995,0
*,*,*,772,Germany,Female,"[35,45[","[0,12[",101979,1,1,0,90928,0
*,*,*,544,Spain,Male,"[18,25[","[0,12[",0,2,1,0,70008,0
*,*,*,624,France,Male,"[25,35[","[0,12[",74682,2,0,0,31231,0
*,*,*,570,Germany,Male,"[35,45[","[0,12[",85669,1,1,0,105525,0
*,*,*,637,France,Female,"[35,45[","[0,12[",0,2,1,0,145477,0
*,*,*,652,*,*,*,*,128136,1,1,*,158438,0
*,*,*,612,France,Female,"[25,35[","[0,12[",0,1,0,0,142798,1
*,*,*,812,France,Male,"[25,35[","[0,12[",0,2,0,0,168024,0
*,*,*,767,France,Female,"[35,45[","[0,12[",0,2,1,0,39512,0
*,*,*,756,France,Male,"[25,35[","[0,12[",103133,1,1,1,90059,0
*,*,*,484,Spain,Male,"[35,45[","[0,12[",0,2,1,0,186136,0
*,*,*,504,Germany,Female,"[35,45[","[0,12[",102365,1,1,0,194691,1
*,*,*,675,Spain,Male,"[35,45[","[0,12[",54098,2,0,1,54479,0
*,*,*,750,Spain,Female,"[35,45[","[0,12[",112940,1,0,1,9856,0
*,*,*,749,France,Female,"[25,35[","[0,12[",74386,1,1,0,20164,0
*,*,*,696,France,Female,"[25,35[","[0,12[",126443,1,1,0,121904,0
*,*,*,652,Germany,Female,"[45,55[","[0,12[",126598,2,1,1,38799,1
*,*,*,757,France,Male,"[35,45[","[0,12[",0,1,1,0,83263,0
*,*,*,733,France,Male,"[45,55[","[0,12[",0,1,0,1,117831,0
*,*,*,650,Germany,Female,"[45,55[","[0,12[",152367,3,1,0,150835,1
*,*,*,588,France,Male,"[35,45[","[0,12[",154410,1,1,0,49324,1
*,*,*,516,France,Male,"[25,35[","[0,12[",0,1,1,0,142681,1
*,*,*,629,France,Male,"[45,55[","[0,12[",130666,1,1,1,161126,1
*,*,*,503,Spain,Male,"[25,35[","[0,12[",0,2,1,1,21645,0
*,*,*,501,France,Male,"[35,45[","[0,12[",99761,1,1,1,13592,0
